target_id	length	eff_length	est_counts	tpm
cgd2_2980-RA	3303	3029	0	0
cgd2_30-RA	1512	1238	0	0
cgd2_300-RA	3747	3473	0	0
cgd2_3000-RA	435	161	0	0
cgd2_3010-RA	2244	1970	0	0
cgd2_3020-RA	528	254	0	0
cgd2_3030-RA	2115	1841	0	0
cgd2_3040-RA	495	221	0	0
cgd2_3050-RA	429	155	0	0
cgd2_3060-RA	721	447	0	0
cgd2_3070-RA	549	275	0	0
cgd2_3080-RA	1344	1070	0	0
cgd2_3090-RA	2459	2185	2	12.0454
cgd2_310-RA	1350	1076	0	0
cgd2_3100-RA	1633	1359	0	0
cgd2_3110-RA	3123	2849	3	13.857
cgd2_3120-RA	2058	1784	0	0
cgd2_3130-RA	1260	986	0	0
cgd2_3140-RA	2334	2060	0	0
cgd2_3150-RA	1977	1703	0	0
cgd2_3160-RA	634	360	0	0
cgd2_3170-RA	2037	1763	1	7.4643
cgd2_3180-RA	1242	968	0	0
cgd2_3190-RA	1714	1440	0	0
cgd2_320-RA	405	131.001	0	0
cgd2_3200-RA	1704	1430	1	9.20249
cgd2_3210-RA	1163	889	0	0
cgd2_3220-RA	2113	1839	1	7.15583
cgd2_3230-RA	1806	1532	2	17.1796
cgd2_3240-RA	1254	980	0	0
cgd2_3250-RA	3263	2989	1	4.40266
cgd2_3260-RA	1707	1433	0	0
cgd2_3270-RA	2013	1739	0	0
cgd2_3280-RA	375	101.044	12	1562.84
cgd2_3290-RA	1701	1427	0	0
cgd2_330-RA	1608	1334	0	0
cgd2_3300-RA	1713	1439	0	0
